District code,State name,District name,Population,Male,Female,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Illiterate_Education,Age not stated,literate education,age 0-29,age 30-49,age 50>
117,RAJASTHAN,Sirohi,1036346,534231,502115,996562,30479,1284,572,114,6829,577092,404,459254,649290,244401,142251
118,RAJASTHAN,Pali,2037573,1025422,1012151,1870543,143476,1345,1540,141,18974,983050,18770,1054523,1207983,467436,343384
119,RAJASTHAN,Ajmer,2583052,1324085,1258967,2201663,314159,10605,6799,417,45614,1034334,3984,1548718,1561077,629951,388040
120,RAJASTHAN,Tonk,1421326,728136,693190,1243527,153146,754,378,122,22458,661902,1533,759424,880194,334006,205593
121,RAJASTHAN,Bundi,1110906,577160,533746,1017688,66609,682,11059,144,13455,553622,529,557284,686771,267648,155958
122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,2224839,142427,1978,1468,183,35149,1180456,14570,1228067,1439454,589476,365023
123,RAJASTHAN,Rajsamand,1156597,581339,575258,1105676,33677,759,260,100,14966,544517,665,612080,687165,275099,193668
124,RAJASTHAN,Dungarpur,1388552,696532,692020,1340065,28662,830,240,226,16141,764563,10477,623989,868458,317700,191917
125,RAJASTHAN,Banswara,1797485,907754,889731,1701234,48834,22250,427,138,22613,1040914,21688,756571,1153029,406214,216554
126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,1413163,97855,1274,1515,252,25843,715545,6995,828793,880043,398303,258997
127,RAJASTHAN,Kota,1951014,1021161,929853,1661307,243993,5665,11058,280,25742,588142,2248,1362872,1177474,495896,275396
128,RAJASTHAN,Baran,1222755,633945,588810,1133349,79984,1432,3066,84,2795,545842,1107,676913,762204,286344,173100
129,RAJASTHAN,Jhalawar,1411129,725143,685986,1299751,96164,842,819,46,12488,696680,799,714449,850546,346110,213674
130,RAJASTHAN,Udaipur,3068420,1566801,1501619,2869976,104307,7406,4278,209,78647,1528671,1663,1539749,1876436,739287,451034
131,RAJASTHAN,Pratapgarh,867848,437744,430104,827293,25597,358,72,32,14077,488621,1452,379227,545987,204801,115608
132,UTTAR PRADESH,Saharanpur,3466382,1834106,1632276,1966892,1454052,6523,18627,1937,10208,1279517,34095,2186865,2228689,769736,433862
133,UTTAR PRADESH,Muzaffarnagar,4143512,2193434,1950078,2382914,1711453,6495,18601,1516,16345,1431537,15851,2711975,2671757,911621,544283
134,UTTAR PRADESH,Bijnor,3682713,1921215,1761498,2032081,1585210,6184,50624,1736,2134,1308683,41646,2374030,2404576,786305,450186
135,UTTAR PRADESH,Moradabad,4772006,2503186,2268820,2488265,2248392,13157,7555,1260,2426,2097292,89676,2674714,3168270,988486,525574
136,UTTAR PRADESH,Rampur,2335819,1223889,1111930,1073890,1181337,9201,65316,384,1307,1235413,9619,1100406,1576123,491164,258913
137,UTTAR PRADESH,Jyotiba Phule Nagar,1840221,963449,876772,1075440,750368,5952,5295,189,517,520215,5814,1320006,1227283,391275,215849
138,UTTAR PRADESH,Meerut,3443689,1825743,1617946,2183255,1185643,10582,24912,1855,18544,990312,46270,2453377,2165117,780475,451827
139,UTTAR PRADESH,Baghpat,1303048,700070,602978,917474,364583,1840,483,161,16139,376700,8084,926348,817140,283276,194548
140,UTTAR PRADESH,Ghaziabad,4681645,2488834,2192811,3414427,1186776,19026,23001,3487,16412,885070,90742,3796575,2891069,1139871,559963
141,UTTAR PRADESH,Gautam Buddha Nagar,1648115,890214,757901,1394025,215500,7366,9261,895,4518,342284,40638,1305831,1015648,402967,188862
142,UTTAR PRADESH,Bulandshahr,3499171,1845260,1653911,2707195,777407,4088,2765,669,1572,1185318,26160,2313853,2246254,753949,472808
143,UTTAR PRADESH,Aligarh,3673889,1951996,1721893,2904140,729283,7635,5875,2582,2805,1352181,35525,2321708,2378289,787408,472667
144,UTTAR PRADESH,Mahamaya Nagar,1564708,836127,728581,1397225,159448,1350,524,424,1289,430814,4331,1133894,1011157,339137,210083
145,UTTAR PRADESH,Mathura,2547184,1367125,1180059,2310776,216933,3179,2872,883,2056,691359,82906,1855825,1600686,535738,327854
146,UTTAR PRADESH,Agra,4418797,2364953,2053844,3922718,411313,10076,12057,4049,21508,963202,7766,3455595,2871903,991255,547873
147,UTTAR PRADESH,Firozabad,2498156,1332046,1166110,2140745,314812,3370,1804,3395,19077,672115,20583,1826041,1621154,543730,312689
