District name,State name,gender_ratio,hindu_pct,muslim_pct,christian_pct,sikh_pct,buddhist_pct,youth_pct,working_pct,elderly_pct,pop_log,literacy_rate,literacy_class
Hazaribagh,JHARKHAND,0.9469435311786871,0.8055526248273993,0.16214921345982547,0.009880109196048417,0.0007564161326495608,4.093410473941983e-05,0.6384867065053517,0.2285771939382933,0.13262246359891497,14.366227439249185,0.6461367717981314,Medium
Ramgarh,JHARKHAND,0.9210549744046295,0.8154791809513579,0.13590810612116788,0.007646588578777241,0.0053641977454149435,7.267418897184981e-05,0.6264167517165328,0.2428002523584881,0.13038592100842283,13.763631829085494,0.6923859568188928,Medium
Dumka,JHARKHAND,0.9766856041907873,0.7905954253005429,0.08086998899686858,0.06538614634618849,0.00017707928157270617,0.00020205200076885705,0.6048869341219668,0.24535772285124885,0.14844692389071937,14.094234879292603,0.5451347845762432,Low
Jamtara,JHARKHAND,0.95401032532174,0.6959933859390526,0.20783472938225783,0.005586302623628075,0.0006573607975303461,0.0001491703348241939,0.6079260014006842,0.24004920092738438,0.14766598992215332,13.58110760683989,0.5373039611044673,Low
Ranchi,JHARKHAND,0.9494152596397039,0.5532254749330274,0.14094829790001073,0.06656045305606617,0.001655998981557195,0.00031980751156471314,0.5978523484405781,0.24909916880929692,0.140401674116832,14.885124427346977,0.7893611158674281,Medium
Khunti,JHARKHAND,0.9970525841515385,0.2610771125337244,0.024670746495953074,0.25651785630352425,0.00012972729067373587,0.0004606258871748592,0.6150803275144063,0.236233396316873,0.1480319993983662,13.184184459647032,0.6656119273903194,Medium
Gumla,JHARKHAND,0.9930655728144016,0.3019499362571485,0.050164209778845954,0.19747018424463988,0.0002155649606472021,0.0005179411497903362,0.6277515013953198,0.2203161684449963,0.151628978563479,13.840411929250838,0.6858028526754928,Medium
Simdega,JHARKHAND,0.9965369003259975,0.336109730510459,0.025189383199516992,0.5113613241313056,8.505982541053875e-05,0.0012558833045908956,0.5968514521880389,0.2394350693320969,0.1631430772976994,13.30398302124835,0.6808738812965118,Medium
Pashchimi Singhbhum,JHARKHAND,1.0047612375481227,0.2821848345711817,0.02536246836597357,0.05830046234602333,0.0006296851973390808,0.00025892974816585883,0.6396609817497794,0.23517011484765746,0.12489532981259877,14.222533784907924,0.814278810760295,High
Saraikela-Kharsawan,JHARKHAND,0.9563454816306063,0.6657077186551693,0.059703902893368986,0.0076174398341495655,0.0010459543911306073,0.0001755776222095364,0.596189308355617,0.24965072259111257,0.15167465372712796,13.878538876820219,0.785041349938407,Medium
Bargarh,ORISSA,0.9772185151122389,0.9850194598499246,0.005081501834592964,0.00792841205599306,0.00044016729057454656,0.00010869161623083129,0.5313285018447195,0.2767956901411303,0.19066399775865736,14.208400934490285,0.7011095321197228,Medium
Jharsuguda,ORISSA,0.9532340153021672,0.9552756231611461,0.022058480944944392,0.018053338625205993,0.0024866049473257347,0.00013804885203751478,0.5524646034115323,0.2751952097048343,0.17006755765696585,13.269931295461578,0.7523610667725041,Medium
Sambalpur,ORISSA,0.9759811113409771,0.9261251811787352,0.019325731750774903,0.048638025778528264,0.0024070717578251444,0.0002977622685258559,0.5433681138873441,0.2752620067832166,0.17935470113793212,13.855788404462844,0.7288941781713363,Medium
Debagarh,ORISSA,0.9750995386462744,0.947142582874696,0.002252655830026878,0.04645462690387815,0.00016958914629463715,0.00032637911173684885,0.5633623448099322,0.26170805068475617,0.17275374376039934,12.652426945900775,0.6518270830666837,Medium
Sundargarh,ORISSA,0.9728058412265219,0.7319790373438513,0.0341022920680202,0.1839133444187716,0.0027290049808042947,0.00033915517878015914,0.5679263335844356,0.2738262484134942,0.15497767546861932,14.554318248526313,0.6845068659816369,Medium
Kendujhar,ORISSA,0.9875993809067312,0.9727823156927248,0.01540294816157555,0.005073448729639741,0.0012082811382152627,0.0001159994294382131,0.5766059676988766,0.26247396256826067,0.15693279747887173,14.40426009249195,0.6111182955521156,Medium
Mayurbhanj,ORISSA,1.0058206689470655,0.838610601578418,0.013376787586645913,0.005956174808650741,0.00026232886117524915,6.429239865414579e-05,0.5753491037560254,0.25801690493217944,0.16433295842663007,14.739665882695144,0.5654929202956815,Low
Baleshwar,ORISSA,0.9569526398923247,0.9470724132299144,0.040617462656144354,0.00277264365151222,0.00010213188458321357,4.783392062758104e-05,0.561866712288448,0.26829011833077715,0.1683284285609014,14.657306165828022,0.729101855654465,Medium
Bhadrak,ORISSA,0.9813445400257806,0.9284396519503936,0.06917575549163302,0.0004945772426754438,0.00011219268994919463,5.377282772712879e-05,0.5633931849247545,0.2613153630296541,0.17292677534973913,14.225192097751046,0.7854762911619378,Medium
Kendrapara,ORISSA,1.0065936301047347,0.96280862922559,0.03488500452317162,0.000987946771677378,0.00011733169670658953,4.304476447223994e-05,0.5354796471162437,0.26004522477351166,0.20195909219980268,14.18040502884818,0.7953825464588391,Medium
Jagatsinghapur,ORISSA,0.9675374006039473,0.9552926152030263,0.04127545909262417,0.0014107659738023222,0.000181183161223989,6.508521325521936e-05,0.5082768162072735,0.2789411515333285,0.2099904043286944,13.94387914622012,0.8153127916191354,High
Cuttack,ORISSA,0.9400854549217895,0.9364667913902617,0.05382534378369728,0.004566636311331431,0.0003909360747122276,0.002391339965783568,0.5228869066897316,0.2831390718888004,0.19047464821468715,14.780389909889687,0.8200848171249814,High
Jajapur,ORISSA,0.9731370554428888,0.9443971952591736,0.051249129812302154,0.0008882481972337882,0.00025722529433141127,3.174269589621671e-05,0.5528411901978555,0.26236542191515727,0.18208595484218407,14.418291467438241,0.7477260189405383,Medium
Dhenkanal,ORISSA,0.9471508815804294,0.9939059918126174,0.004028299537814457,0.0006094846543165681,0.00010395611710488921,0.00030683821661604393,0.5379703909504523,0.27349932218934936,0.1864486494507512,13.991824102744234,0.7133770563819415,Medium
Anugul,ORISSA,0.9426354011938058,0.9881168547229163,0.005897217897962116,0.0026557891571892755,0.0006374522008979283,0.00017741896231888155,0.556195101195537,0.27281776638946914,0.1676193122895603,14.057532387927425,0.726923170523959,Medium
Nayagarh,ORISSA,0.9154795915931211,0.992693103057887,0.005481990342639976,0.0003978026338065765,0.0001111354616639783,3.427542275618022e-05,0.5215431418514337,0.27221540752958334,0.20460765546760507,13.777590598464037,0.758453825292977,Medium
Khordha,ORISSA,0.9292276742147666,0.9537939123487291,0.03733224140450234,0.005563418844565796,0.0005613603751521647,0.00021095425490290996,0.5327243343060916,0.29016024973430865,0.17395998442047314,14.627184497549804,0.8351252601954191,High
Puri,ORISSA,0.9629873581547991,0.9683145644098827,0.027134388631507068,0.0024953936175849015,0.0001136142883212753,0.0001430480417723829,0.5228223437509198,0.28105113820324595,0.19347748023523456,14.345392059690314,0.8176343503676275,High
